observation_id,image_date,authoritative_lat,authoritative_lng,category,dist_from_prev_m,n_points
d34d678c-51fc-4bd8-993b-3be4dcb2b81b,2025-02-25,54.65734077217576,-6.326990880412975,manual,41.93975106382979,48
d41a61de-f731-4a7f-9bf2-52e9a14ecfa1,2024-10-11,54.55506370366507,-6.471246443328527,manual,47.3132306122449,50
d4f98445-4755-48ae-9462-0bbe2026a726,2024-08-14,54.67112624305359,-6.297922417335459,wiggle,213.7673142857143,8
d5154891-f5d1-454d-bf86-7c8006598bf6,2025-08-17,54.5456719630082,-6.545192428493279,stream,41.15346382978724,48
d955cd0b-4893-459e-8ee8-642a3864a351,2025-12-02,54.55062454847886,-6.47505961224936,manual,48.18048666666667,31
de5a92dc-a7a9-4417-a6cb-41759789308a,2025-11-02,54.66777654921132,-6.394144639216204,manual,58.30911111111112,37
e3c4104d-2ef6-4e7d-ad5d-55331dac38f1,2024-03-22,54.69124633608315,-6.313324705025384,manual,35.71513414634146,42
e4b83d80-94a0-465d-a452-72846860a6ce,2025-09-26,54.67366344236636,-6.458913028259,manual,41.22745526315789,39
e4d4dd4d-1926-4f37-a69c-32eefafb6b88,2024-07-23,54.678204578758034,-6.382526332702126,wiggle,186.2168896551724,30
e85c4b2d-1b03-4c0c-9cb1-b896d8be3f41,2025-03-30,54.5213104115528,-6.384583495976907,manual,38.66078484848485,34
eb11aa51-3619-420f-93c5-90865dcf96d8,2025-08-12,54.66387149545727,-6.4480370256040365,wiggle,346.71206,6
ebff8dca-1084-42b1-ae1e-36564c64ae80,2025-02-25,54.56193521690015,-6.470204980257033,manual,40.76162894736842,39
f02369e7-328d-4f15-956c-6be72c20fc86,2025-11-25,54.62729732550434,-6.367834582602002,manual,63.642425,33
f0a7eb78-4313-4550-9394-143c0bd05ea8,2024-07-23,54.69141496196277,-6.376749518146798,stream,99.58981333333332,16
f968ba1c-9e66-42f1-b99f-5105787b2c7a,2024-08-09,54.6382870281922,-6.323069897090278,manual,45.42167073170732,42
ffb0d6db-3275-4f2e-a47f-ee2b8ee50c6d,2025-10-28,54.57456528831466,-6.394279384078705,manual,34.484857142857145,36
