case_id,observed_spacing,U10,depth,Ra,L_inst,coarsened_width,comparison_spacing,pattern_lifetime_s,u_star_water,nu_T_vertical,A_H,site_id,wiggle_spacing,manual_spacing,measurement_method,n_events,visible_n_events,mechanical_capped_width,cap_binding
obs_013,148.6952771,4.39,2.0,21533.59619197331,24.351161023341234,97.40464409336494,97.40464409336494,19800.0,0.005613015586630763,0.0007670927591435996,0.011226031173261526,taihu,148.6952771,,wiggle,2,2,24.0,True
obs_014,147.7419404,2.0949999999999998,2.0,21379.75717106665,28.223527476396065,56.44705495279213,56.44705495279213,19800.0,0.0023291185672341596,0.00031830483285450546,0.004658237134468319,taihu,147.7419404,,wiggle,1,1,24.0,True
obs_015,197.885081,2.36,2.0,21644.504881976096,27.582933793155306,110.33173517262122,110.33173517262122,19800.0,0.0026437416126240875,0.0003613022299316069,0.005287483225248175,taihu,197.885081,,wiggle,2,2,24.0,True
obs_016,41.34629574,5.175,3.5,16071.40499566534,47.690818356593084,190.76327342637234,190.76327342637234,19800.0,0.0069947419435347925,0.0016728668707158406,0.024481596802371774,prairie,,41.34629574,manual,2,2,42.0,True
obs_017,148.4256036,4.335,2.0,21556.78765285412,24.414535371018854,97.65814148407541,97.65814148407541,19800.0,0.005520617732993136,0.0007544653713532196,0.011041235465986272,taihu,148.4256036,,wiggle,2,2,24.0,True
obs_018,118.7082602,1.9899999999999998,3.5,19228.222500086886,53.86471411042694,53.86471411042694,53.86471411042694,0.0,0.002208571717069456,0.000528203397196152,0.007730001009743097,prairie,118.7082602,,wiggle,0,0,42.0,True
obs_019,38.21719311,3.935,2.0,21713.93250453646,24.904671152691318,99.61868461076527,99.61868461076527,19800.0,0.0048668335518142905,0.0006651171228610122,0.009733667103628581,taihu,125.875616,38.21719311,manual,2,2,24.0,True
obs_020,111.5705296,5.1899999999999995,2.0,21174.51016373049,23.520001312321874,94.0800052492875,94.0800052492875,19800.0,0.007022264766985928,0.000959685283677883,0.014044529533971856,taihu,111.5705296,,wiggle,2,2,24.0,True
obs_021,179.0578665,1.53,2.0,20450.922925559607,29.925717607796695,29.925717607796695,29.925717607796695,0.0,0.001701376642617691,0.00023251560288495095,0.003402753285235382,taihu,179.0578665,,wiggle,0,0,24.0,True
obs_022,78.84174563,2.52,2.0,21754.11214502798,27.23219296297495,108.9287718518998,108.9287718518998,19800.0,0.0028416645923272183,0.0003883510207740942,0.005683329184654437,taihu,78.84174563,,wiggle,2,2,24.0,True
obs_023,240.0385851,1.21,2.0,19734.55774805047,31.189625385292935,31.189625385292935,31.189625385292935,0.0,0.0013605102149838058,0.000185931700802817,0.0027210204299676116,taihu,240.0385851,,wiggle,0,0,24.0,True
obs_024,74.96224053,5.24,9.0,15714.163212711956,129.3807016394333,258.7614032788666,258.7614032788666,19800.0,0.007114306029751258,0.004375187723758545,0.06402875426776132,neagh,,74.96224053,manual,1,1,108.0,True
obs_025,110.0430083,3.935,2.0,21713.93250453646,24.904671152691318,99.61868461076527,99.61868461076527,19800.0,0.0048668335518142905,0.0006651171228610122,0.009733667103628581,taihu,110.0430083,,wiggle,2,2,24.0,True
obs_026,212.1271591,2.62,2.0,21805.220945162277,27.024930442354552,54.049860884709105,54.049860884709105,12600.0,0.0029686002518804107,0.00040569845617981323,0.005937200503760821,taihu,300.5653587,212.1271591,manual,1,1,24.0,True
