observation_id,site_id,site_label,image_date,observed_spacing_m,measurement_method,manual_spacing_m,wiggle_spacing_m,has_manual,has_wiggle,latitude,longitude,observation_time_utc,representative_u10_mps,depth_m,fetch_m,pattern_lifetime_s,pattern_reset_time,pattern_reset_event_count,pattern_reset_causes,wind_direction_deg,forcing_mode,matched_cache_file,lookback_hours,onset_only,visible_spacing_multiplier,max_visible_mergers,max_visible_aspect_ratio,max_cell_aspect_ratio,drag_method,drift_method,proxy_notes
obs_022,taihu,Taihu Lake,2019-11-05,78.84174563,wiggle,,78.84174563,False,True,31.3318,120.00427,2019-11-05 02:30:00+00:00,2.52,2.0,30000.0,19800.0,,0,,20.880843641365743,era5_cache_matched,data/raw/era5_cache/31p332_120p004_20191026_20191105.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_023,taihu,Taihu Lake,2019-12-10,240.0385851,wiggle,,240.0385851,False,True,31.27468,120.03466,2019-12-10 02:30:00+00:00,1.21,2.0,30000.0,0.0,2019-12-10 02:30:00+00:00,6,low_wind_shutdown,218.47103834958577,era5_cache_matched,data/raw/era5_cache/31p275_120p035_20191130_20191210.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_024,neagh,Lough Neagh,2020-04-20,74.96224053,manual,74.96224053,,True,False,54.69614,-6.47065,2020-04-20 10:30:00+00:00,5.24,9.0,15000.0,19800.0,,0,,103.0,era5_cache_matched,data/raw/era5_cache/54p696_6p471_20200410_20200420.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_025,taihu,Taihu Lake,2020-05-03,110.0430083,wiggle,,110.0430083,False,True,31.24797,120.19523,2020-05-03 02:30:00+00:00,3.935,2.0,30000.0,19800.0,,0,,244.50571806127073,era5_cache_matched,data/raw/era5_cache/31p248_120p195_20200423_20200503.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_026,taihu,Taihu Lake,2020-08-11,212.1271591,manual,212.1271591,300.5653587,True,True,31.23357,120.13801,2020-08-11 02:30:00+00:00,2.62,2.0,30000.0,12600.0,2020-08-10 23:00:00+00:00,3,low_wind_shutdown,145.0152687256159,era5_cache_matched,data/raw/era5_cache/31p234_120p138_20200801_20200811.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_027,taihu,Taihu Lake,2020-10-10,42.44398558,manual,42.44398558,,True,False,31.3164,119.95491,2020-10-10 02:30:00+00:00,2.49,2.0,30000.0,19800.0,,0,,32.04560395609184,era5_cache_matched,data/raw/era5_cache/31p316_119p955_20200930_20201010.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_028,taihu,Taihu Lake,2020-10-20,94.03664409,wiggle,,94.03664409,False,True,31.20663,120.26347,2020-10-20 02:30:00+00:00,3.7350000000000003,2.0,30000.0,19800.0,,0,,50.98794078505125,era5_cache_matched,data/raw/era5_cache/31p207_120p263_20201010_20201020.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_029,neagh,Lough Neagh,2020-11-13,99.70918716,manual,99.70918716,,True,False,54.62757,-6.47327,2020-11-13 10:30:00+00:00,5.52,9.0,15000.0,19800.0,,0,,213.26097376597463,era5_cache_matched,data/raw/era5_cache/54p628_6p473_20201103_20201113.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_030,neagh,Lough Neagh,2021-01-22,76.38345592,manual,76.38345592,,True,False,54.62495,-6.32666,2021-01-22 10:30:00+00:00,3.4699999999999998,9.0,15000.0,19800.0,,0,,254.9798250415814,era5_cache_matched,data/raw/era5_cache/54p625_6p327_20210112_20210122.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_031,neagh,Lough Neagh,2021-02-09,52.64559171,manual,52.64559171,,True,False,54.55048,-6.44421,2021-02-09 10:30:00+00:00,6.135,9.0,15000.0,19800.0,,0,,77.07101077809625,era5_cache_matched,data/raw/era5_cache/54p550_6p444_20210130_20210209.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
