observation_id,observed_spacing_m,site_id,representative_u10_mps,Linst_raw_m,Lsel_premerge_m,Lmech_raw_m,Lmech_capped_m,Lvis_bound_m,Lvis_proxy_m,n_mergers,n_visible_mergers,cap_binding,visible_cap_binding,has_raw_instability
obs_023,240.0385851,taihu,1.21,31.18962538529293,3.898703173161617,3.898703173161617,3.898703173161617,3.898703173161617,3.898703173161617,0,0,False,False,True
obs_024,74.96224053,neagh,5.24,129.3807016394333,16.172587704929164,64.69035081971666,64.69035081971666,64.69035081971666,64.69035081971666,2,2,False,False,True
obs_025,110.0430083,taihu,3.935,24.90467115269132,3.1130838940864147,24.904671152691318,24.0,24.904671152691318,24.904671152691318,3,3,True,False,True
obs_026,212.1271591,taihu,2.62,27.024930442354552,3.378116305294319,3.378116305294319,3.378116305294319,3.378116305294319,3.378116305294319,0,0,False,False,True
obs_027,42.44398558,taihu,2.49,27.29610388353154,3.4120129854414425,27.29610388353154,24.0,27.29610388353154,27.29610388353154,3,3,True,False,True
obs_028,94.03664409,taihu,3.735,25.171265471536245,3.1464081839420306,25.171265471536245,24.0,25.171265471536245,25.171265471536245,3,3,True,False,True
obs_029,99.70918716,neagh,5.52,128.74483342551116,16.10820940080781,64.43283760323123,64.43283760323123,64.43283760323123,64.43283760323123,2,2,False,False,True
obs_030,76.38345592,neagh,3.47,134.23561719294088,16.77945214911761,67.11780859647044,67.11780859647044,67.11780859647044,67.11780859647044,2,2,False,False,True
obs_031,52.64559171,neagh,6.135,127.42970982669917,16.44931033738343,65.79724134953372,65.79724134953372,65.79724134953372,65.79724134953372,2,2,False,False,True
obs_032,47.17957738,neagh,5.705,128.33819070948994,16.213316420959114,64.85326568383645,64.85326568383645,64.85326568383645,64.85326568383645,2,2,False,False,True
obs_033,43.47822366,neagh,6.1,127.50187865245628,16.430781539416493,65.72312615766597,65.72312615766597,65.72312615766597,65.72312615766597,2,2,False,False,True
obs_034,406.7357008,erie,1.575,113.87061213412088,14.23382651676511,14.23382651676511,14.23382651676511,14.23382651676511,14.23382651676511,0,0,False,False,True
obs_035,150.0154346,taihu,3.365,25.709430810216425,3.213678851277053,3.213678851277053,3.213678851277053,3.213678851277053,3.213678851277053,0,0,False,False,True
obs_036,100.4628601,prairie,4.02,49.51001559966959,6.188751949958698,49.510015599669586,42.0,49.510015599669586,49.510015599669586,3,3,True,False,True
obs_037,185.1798507,taihu,1.63,29.582559816783817,3.697819977097977,3.697819977097977,3.697819977097977,3.697819977097977,3.697819977097977,0,0,False,False,True
obs_038,69.86280218,taihu,0.98,32.30130949481171,4.037663686851464,4.037663686851464,4.037663686851464,4.037663686851464,4.037663686851464,0,0,False,False,True
obs_039,63.17308753,prairie,3.63,50.20925680934625,6.276157101168281,25.104628404673125,25.104628404673125,25.104628404673125,25.104628404673125,2,2,False,False,True
obs_040,52.46092535,prairie,7.16,45.21388907263728,6.4709162694680575,51.76733015574446,42.0,51.76733015574446,51.76733015574446,3,3,True,False,True
obs_041,53.37615632,neagh,5.085,129.7442643678867,16.218033045985838,16.218033045985838,16.218033045985838,16.218033045985838,16.218033045985838,0,0,False,False,True
obs_042,43.35428673,neagh,5.645,128.46896511493114,16.180000991893724,64.7200039675749,64.7200039675749,64.7200039675749,64.7200039675749,2,2,False,False,True
obs_043,53.46002757,neagh,2.865,136.44696821331002,17.055871026663752,68.22348410665501,68.22348410665501,68.22348410665501,68.22348410665501,2,2,False,False,True
